WeekOfMonth,DayOfWeek,NonUrgentOrder,UrgentOrder,OrderTypeA,OrderTypeB,OrderTypeC,FiscalSectorOrders,TrafficControllerOrders,BankingOrders1,BankingOrders2,BankingOrders3,TotalOrders
4.0,5.0,168.179,125.119,71.068,100.544,136.033,14.347,28072.0,95989.0,50763.0,55445.0,307.645
4.0,6.0,172.783,77.371,64.137,109.062,80.648,3.693,46321.0,66498.0,61593.0,31625.0,253.847
5.0,2.0,381.768,140.041,118.178,260.632,152.134,9.135,34236.0,194216.0,136035.0,47601.0,530.944
5.0,3.0,221.438,111.392,51.199,124.66,157.5,529.0,39964.0,136119.0,66745.0,31031.0,333.359
5.0,4.0,193.957,111.859,47.002,99.892,159.462,540.0,59179.0,94460.0,54772.0,34616.0,306.356
1.0,6.0,275.076,121.697,109.888,131.165,175.777,20.057,37906.0,138536.0,85378.0,14020.0,416.83
2.0,2.0,252.298,150.708,77.388,154.863,182.936,12.181,32133.0,69093.0,169088.0,12516.0,415.187
2.0,3.0,165.472,102.53,46.295,96.87,124.837,0.0,48458.0,43112.0,72840.0,11304.0,268.002
2.0,4.0,126.03,108.055,53.366,69.15,111.987,418.0,42201.0,13736.0,70191.0,16710.0,234.503
2.0,5.0,112.246,106.641,47.399,77.61,109.715,15.837,35316.0,25876.0,38646.0,13989.0,234.724
2.0,6.0,123.302,94.315,48.081,72.826,109.157,12.447,43284.0,30138.0,52112.0,12632.0,230.064
3.0,2.0,187.81,167.455,59.042,130.098,168.254,2.129,37817.0,36445.0,103567.0,10443.0,357.394
3.0,3.0,119.863,139.383,44.809,99.072,115.365,0.0,54584.0,17242.0,59231.0,12543.0,259.246
3.0,4.0,127.805,114.813,39.025,110.74,94.47,1.617,33366.0,21103.0,84558.0,16683.0,244.235
3.0,5.0,120.629,112.703,39.6,240.922,122.085,169.275,37387.0,20246.0,63778.0,13886.0,402.607
3.0,6.0,130.465,105.273,57.467,88.462,109.132,19.323,27200.0,41713.0,59513.0,12260.0,255.061
4.0,2.0,222.282,120.324,41.418,135.189,165.999,0.0,39446.0,29290.0,154144.0,10811.0,342.606
4.0,3.0,150.257,116.959,34.193,115.536,118.911,1.424,51346.0,19782.0,89704.0,12182.0,268.64
4.0,4.0,96.494,87.294,32.653,81.576,74.372,4.813,34631.0,22420.0,49644.0,15390.0,188.601
4.0,5.0,89.526,99.756,51.985,51.93,98.107,12.74,31850.0,32150.0,21573.0,13807.0,202.022
4.0,6.0,134.425,79.084,36.748,71.353,105.408,0.0,33970.0,28701.0,65199.0,11023.0,213.509
5.0,2.0,158.716,158.133,59.131,92.639,165.079,0.0,32027.0,33282.0,128269.0,9287.0,316.849
5.0,3.0,150.784,133.069,54.224,115.746,116.442,2.559,51235.0,34421.0,87708.0,11354.0,286.412
5.0,4.0,193.534,109.639,58.378,142.382,102.687,274.0,28364.0,88404.0,91367.0,15003.0,303.447
5.0,5.0,196.555,108.395,76.763,96.478,131.709,0.0,37011.0,109931.0,50112.0,12957.0,304.95
5.0,6.0,192.116,121.106,107.568,121.152,103.18,18.678,27328.0,108072.0,56015.0,10690.0,331.9
